d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
0.000114826081515143,0.000134407302274876,4.96618545788863E-05,6.17007698622274E-06,1.14097018775183E-05,1.52727620985618E-05,2.98602947368387E-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,1.2541414795695E-05,1.28791667481103E-05,1.3562309914439E-05,1.45317520293068E-05,1.57575351700657E-05,1.7031374460942E-05,1.84205605088676E-05
0.000117658427998048,2.78620685103537E-05,6.48201692321493E-09,1.76967187792698E-07,7.71051929859872E-07,1.49226329981822E-06,4.54427414897639E-06,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,$A$318,$B$55,$C$414,$D$116,$E$52,$F$20,$G$335
2.05224993055086E-05,3.44938101282111E-06,4.66674937116274E-06,4.42010608114873E-06,1.83005547151893E-05,2.60736921555701E-05,4.5480696116762E-05,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,,,,,,,
4.69692828652946E-06,8.39922555528894E-06,1.00863369125735E-05,3.04541274340764E-05,4.068604372609E-05,6.36966360565427E-05,4.97816383751007E-05,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,,,,,,,
7.56304288884735E-06,7.9693018193437E-06,2.50509402102139E-05,3.3472125311684E-05,5.43647207473796E-05,4.17962624246197E-05,2.40470429277995E-05,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,,,,,,,
6.94048800853316E-06,2.07564592289433E-05,2.63448133088759E-05,4.38226875907333E-05,3.24145310095496E-05,1.72504894777603E-05,2.52498699924161E-05,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,,,,,,,
1.91368075128651E-05,2.2100273883163E-05,3.59182955413928E-05,2.47059282421075E-05,1.16478007738952E-05,1.85254998064097E-05,2.38046195590863E-05,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,,,,,,,
1.93480687791234E-05,2.78164672364856E-05,1.54231420310675E-05,4.88399531506367E-06,9.43549673948479E-06,1.35388227704421E-05,1.0470361380131E-06,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,,,,,,,
2.46862305317563E-05,1.02495041573999E-05,1.34061668521923E-06,3.45685736236046E-06,5.94286966393271E-06,3.42462860292467E-08,5.21892664640003E-06,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,,,,,,,
8.1480637172945E-06,1.12060632995181E-07,4.45015984951132E-07,1.13403647028486E-06,2.52923294064038E-06,1.33395452053268E-05,6.13046182706554E-08,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,,,,,,,
1.80656378745425E-08,3.70651065395471E-08,1.42983708428759E-07,5.66808210167342E-06,1.99026957850018E-05,2.9150688285471E-07,1.33121292678075E-06,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,,,,,,,
3.35057883660182E-08,1.2655829184634E-07,5.82331053067304E-06,2.02367402570852E-05,3.34136998958553E-07,1.41831570577024E-06,3.31033200849019E-10,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,,,,,,,
1.17543322630771E-07,5.97152906323158E-06,2.06355226686222E-05,3.95444655021498E-07,1.54481496483796E-06,1.05234243541835E-09,4.87724458375561E-07,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,,,,,,,
6.09023875686218E-06,2.11583858702463E-05,5.06275577016998E-07,1.79041706260833E-06,1.68568201619623E-08,3.64316584899815E-07,4.3776023028741E-08,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,,,,,,,
1.95877834221486E-05,9.00119880853867E-08,5.51874394183554E-07,3.08133852655539E-07,1.70177805736124E-06,7.94996712016882E-07,3.62035655010406E-07,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,,,,,,,
1.30286004205491E-10,3.9355407822214E-11,2.62752174706708E-06,6.40908908966481E-06,4.61333812951104E-06,3.33053380074923E-06,6.84760517177807E-06,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,,,,,,,
4.98880936569205E-11,2.62134190109879E-06,6.39521415823879E-06,4.5997776789708E-06,3.31874195347283E-06,6.83115990463001E-06,8.50458491186146E-07,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,,,,,,,
2.62298271302956E-06,6.40109408678285E-06,4.60713110683741E-06,3.32585803253218E-06,6.84167947984093E-06,8.54062678579126E-07,2.01495570450966E-07,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,,,,,,,
5.83755891714306E-06,3.52193549080226E-06,2.05477031145469E-06,4.69408681014194E-06,2.15911619472209E-07,2.35567121347926E-12,1.04636535191982E-06,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,,,,,,,
2.91106028171839E-06,1.06117229692326E-06,2.50728885853313E-06,4.24702273349453E-08,4.68886753646279E-07,1.25901809866452E-07,1.66215841091341E-09,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,,,,,,,
8.26986653379335E-07,1.68479218332074E-06,3.82637509233064E-07,1.3434131782565E-06,1.7008062513938E-08,2.63431306990526E-07,3.75093751259236E-06,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,,,,,,,
1.52149343879415E-06,5.94373582352148E-07,1.90217022932886E-06,1.47046542942107E-07,5.96213106440843E-07,4.79104886452777E-06,1.02761018383468E-06,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,,,,,,,
7.37227976665977E-07,2.51579029808564E-06,4.65627280954526E-07,1.24477453433704E-06,6.45307509117316E-06,1.83858972846451E-06,3.70461747700745E-06,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,,,,,,,
