d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
0.000140352923027943,0.000181544325749351,6.37380291748104E-05,2.09439008358378E-08,2.84462910915541E-06,1.04568220971052E-05,3.30769015732844E-07,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,4.52769170342812E-06,7.42665106749451E-06,9.98526952522102E-06,1.29067823962602E-05,1.63734615195133E-05,1.97649832842362E-05,2.27021335258056E-05
4.89128271965463E-05,3.57976560394391E-07,6.34647031907405E-05,2.93629877321514E-05,1.35130653886589E-05,4.00041990502583E-05,6.5708576379996E-05,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,$A$486,$B$159,$C$345,$D$101,$E$262,$F$63,$G$170
1.92104080412029E-05,0.000168717978692223,9.98880818878783E-05,6.13321428852829E-05,0.000107543414973321,0.000147613557178515,0.000244318540013388,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,,,,,,,
0.000112745430842275,4.68780642046699E-05,2.46689089655741E-05,6.03645933239245E-05,9.25202410260162E-05,0.000171670863196915,0.000195820591039285,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,,,,,,,
1.0951801465709E-06,7.3830782396649E-06,6.05754859828124E-07,1.07263541428978E-05,4.81711461794983E-05,6.15526669713864E-05,2.35099279779488E-05,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,,,,,,,
1.08408570300705E-05,3.11274561680805E-10,6.67048837854594E-06,3.98507220291663E-05,5.23636338565217E-05,1.79859935087729E-05,2.14328930658872E-05,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,,,,,,,
3.32227187982416E-06,2.47130391193279E-05,7.20223580055186E-05,8.47712332330265E-05,3.78871328052803E-05,4.27762836388016E-05,5.79607680892824E-05,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,,,,,,,
1.57894043548708E-05,5.1338931028377E-05,6.40784847405476E-05,2.56517500796244E-05,3.00350425030963E-05,4.29708374591886E-05,1.64557838076009E-05,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,,,,,,,
2.48223491761121E-05,2.61690424885324E-05,5.93212201582789E-06,9.57331316442395E-06,1.79520103051889E-05,3.04045195442813E-06,3.48958073326277E-07,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,,,,,,,
5.59016201351322E-06,1.44749714436911E-06,4.81253445982921E-08,1.51264697856313E-06,1.38209910738312E-06,1.22627263918764E-05,7.51182336333603E-08,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,,,,,,,
