d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
0.000414257523516426,0.000425333880290428,0.000397421333250487,5.22588766536119E-05,0.000174321439491365,0.000445777994517731,0.000448432250564679,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,4.40545539599326E-05,7.06815825921581E-05,0.000106913398840801,0.00014886920398942,0.00019397104997044,0.000237719270071769,0.000279535838125931
0.000143566035607281,4.04715188437862E-05,3.59418760496042E-05,2.6367567649288E-06,0.000104657876054406,0.000104693245702947,8.04473978668341E-05,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,$A$130,$B$397,$C$184,$D$274,$E$10,$F$75,$G$266
1.57197357353284E-06,0.000196063384411357,3.80340275683011E-05,1.16515644208456E-05,1.46799797597907E-05,6.44550665640509E-06,2.40284862229492E-07,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,,,,,,,
0.000211339291670495,4.90813840912097E-05,6.74427589331175E-06,9.7154726432791E-06,3.48990512577529E-06,1.35521802135915E-06,4.30707247147651E-05,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,,,,,,,
6.60302706734228E-07,0.000151629255928046,0.000158533391086735,0.000103382487978365,4.40621262356459E-05,1.64621623355316E-06,4.73801381737345E-05,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,,,,,,,
0.000160249107935331,0.000172500460852376,0.000114434889045612,5.04453566918544E-05,2.95905380198785E-06,5.36284653804825E-05,0.00010388247063986,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,,,,,,,
6.00528699443714E-05,5.00240054179812E-06,1.31718644880127E-06,3.03979064142356E-05,2.70018759351727E-07,1.12418074991183E-05,1.30416770502961E-05,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,,,,,,,
1.14278089213826E-06,4.00886899711836E-05,0.000111612566357164,1.52583234047663E-05,6.47002540432595E-07,3.19755489641693E-07,7.1936057253185E-06,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,,,,,,,
3.45197263982287E-05,9.70124283448093E-05,1.02991782711122E-05,3.76410902447333E-08,6.28439522643021E-11,1.06164400825989E-05,1.59343288466127E-05,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,,,,,,,
5.39764769769119E-05,5.16376758241517E-07,1.32166137554179E-05,1.13094573386263E-05,4.11141193126213E-05,5.13032765105963E-05,0.000109435692795754,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,,,,,,,
1.47444512919029E-05,7.29352399311267E-05,6.63998545782363E-05,0.00011255659173059,0.000123452139533245,0.000208303645909066,0.00021023853651414,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,,,,,,,
4.77550504776048E-05,3.12057076747862E-05,6.5743851806129E-05,7.95156155142271E-05,0.000152985695823557,0.000154331885141801,2.88941261636921E-05,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,,,,,,,
7.02230338234244E-06,1.22157041602107E-05,1.95151742765641E-05,7.09584862903493E-05,7.59196065622802E-05,2.70553078962621E-06,7.82525199838284E-06,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,,,,,,,
5.60842687491353E-06,7.0140923789103E-06,4.48721530155168E-05,5.18572060173028E-05,5.0093351688929E-08,1.78608318037722E-05,1.71995297684209E-05,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,,,,,,,
2.69417002130049E-06,2.61885604722056E-05,3.20294990530101E-05,1.27027377416766E-06,3.02069469206844E-05,8.23908638736398E-06,3.47660031572174E-05,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,,,,,,,
1.95330834209519E-05,2.08261713510183E-05,4.81933625806619E-06,4.13728834161006E-05,3.9613669287073E-06,2.51127318939848E-05,0.000143700332305483,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,,,,,,,
7.20448065294477E-06,2.64889518462041E-05,8.66629145548338E-05,2.81979882998704E-07,6.97531312710057E-06,9.22409577128725E-05,0.000270166936534366,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,,,,,,,
3.95500880046029E-05,0.000123260158435554,5.19322287928402E-06,1.23108003791142E-06,6.66604422896437E-05,0.000224681394911386,0.000282027293966532,2022-03-30,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,,,,,,,
7.10438673969786E-05,3.68451088661544E-06,2.70905301000835E-05,0.000138172774629905,0.000337276351647375,0.000407583172901123,0.000580939560904881,2022-03-31,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,,,,,,,
3.01741965849114E-05,0.000117164671568306,0.000297280894656634,0.000537265793244757,0.000611026007479859,0.00082149464651593,0.000778312465232744,2022-04-01,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,,,,,,,
7.22131861863336E-05,0.000184433247429891,0.000384341255429632,0.000465816490450517,0.00066099422085486,0.000621380102202807,0.000700594928503051,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,,,,,,,
9.95271087766958E-05,0.0001942897161058,0.000257795174096739,0.00043527208744365,0.00041488131842371,0.000478905295157261,0.000760920704635737,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,,,,,,,
9.40564749640771E-05,8.8331057668254E-05,0.000206583256531445,0.000215564475158914,0.000273567355609572,0.000493358323083726,0.000298723466730885,2022-04-06,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,,,,,,,
2.77522171963073E-05,6.23064440929966E-05,7.00665808928136E-05,0.000121330180039791,0.000289732715955893,0.000145612970218428,0.000381709579816203,2022-04-07,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,,,,,,,
3.18873038942513E-05,2.3503136844738E-05,5.75401973037515E-05,0.000196556107553647,8.55247393793986E-05,0.000279034336983841,0.000334719747119294,2022-04-08,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,,,,,,,
5.94214316507191E-06,1.44910428758749E-05,0.000106924951580822,3.63302752361987E-05,0.000187140255722085,0.000232748796324955,0.000364865044705449,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-18,2022-04-19,,,,,,,
