d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
0.000624182491776537,0.000583937359706965,0.00048782932941549,3.28701735838877E-05,0.000143738918495728,0.00042428964776775,0.000397323903200695,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,5.65744029159022E-05,7.88478835277298E-05,0.000110636980186679,0.000145829555413524,0.000181892134369711,0.000215149535110751,0.000245772749396924
0.000275825657411133,7.96762106460846E-05,6.13933079876006E-05,2.98783220387122E-08,7.80375276008272E-05,5.72656290387419E-05,2.45053211642698E-05,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,$A$198,$B$323,$C$104,$D$141,$E$108,$F$291,$G$128
1.54943847974209E-05,0.000273837546060918,8.40330813502987E-05,5.95430961425336E-07,5.30987023238481E-08,1.05485757018187E-05,6.31277785601014E-05,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,,,,,,,
0.000314259825472618,0.000126072559979207,1.83681210330633E-06,4.5634806156149E-06,2.5921432907694E-05,9.76887395296444E-05,0.000301550768710968,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,,,,,,,
3.48314026723528E-05,6.31183073807051E-05,5.53886502672218E-05,1.21632629088708E-05,2.51300212994465E-06,7.46793214148056E-05,5.83079236093909E-06,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,,,,,,,
9.46191904063198E-05,0.000111192320218838,4.46289277533651E-05,1.62426489680456E-06,3.45309336466926E-05,2.42158421315253E-07,9.46444698968207E-06,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,,,,,,,
5.79097288664377E-05,2.47384883778068E-06,1.59053147541499E-05,0.000112154768942219,1.6536156181246E-05,2.94348956231261E-06,6.69791830887334E-06,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,,,,,,,
5.07845982156141E-07,6.36326697076583E-05,0.000216186259649476,6.00722712675861E-05,2.78634843198233E-05,4.01324792278501E-05,1.19043939008634E-05,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,,,,,,,
6.02664568418731E-05,0.000205342912082074,5.42518331627662E-05,2.43427186887857E-05,3.60162409975828E-05,9.6072767661326E-06,9.77799687973402E-06,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,,,,,,,
0.000143873296011066,1.08307524584461E-05,5.4309799679686E-07,5.02589097095552E-06,2.88281626126263E-07,4.84337817852065E-07,1.48012664027419E-05,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,,,,,,,
1.10222586613418E-07,3.10547251416438E-05,1.80882626779066E-05,4.03608716084136E-05,3.99559585417819E-05,9.52673407397242E-05,8.2837485152258E-05,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,,,,,,,
2.99447892757598E-05,1.663227807569E-05,3.81075815312215E-05,3.79443879552355E-05,9.22478273110983E-05,7.98827759496174E-05,3.54135408997536E-07,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,,,,,,,
